VR_NUMBER,LATITUDE,LONGITUDE,POSITION_UTC_DATE
105625,45.501943999999995,-60.963333,2018-05-25 06:20:49
107948,45.504166,-60.957221999999994,2018-05-25 06:21:55
160781,47.143,-60.958400000000005,2018-05-25 06:21:58
101440,44.725833,-65.748888,2018-05-25 06:22:13
107949,43.7,-65.107222,2018-05-25 06:22:41
106425,43.6055,-65.7773,2018-05-25 06:23:41
1548,43.832221999999994,-66.125833,2018-05-25 06:24:09
106256,45.919722,-59.9675,2018-05-25 06:24:54
176301,47.14902,-61.95708,2018-05-25 06:25:04
158986,46.87314,-62.974669999999996,2018-05-25 06:25:05
104602,45.506111,-60.961388,2018-05-25 06:25:47
108371,43.499300000000005,-65.47070000000001,2018-05-25 06:25:49
150009,43.84,-66.1215,2018-05-25 06:25:49
160781,47.155,-60.9568,2018-05-25 06:26:47
105907,43.6169,-65.7865,2018-05-25 06:27:36
106891,45.055,-66.794722,2018-05-25 06:27:37
107838,45.9174,-59.9711,2018-05-25 06:28:09
73907,45.057221999999996,-66.796666,2018-05-25 06:29:33
4004,44.642500000000005,-63.5675,2018-05-25 06:29:53
106654,44.638667,-65.75200000000001,2018-05-25 06:30:00
108233,45.582189,-60.740319,2018-05-25 06:30:00
5665,44.64275,-65.7453,2018-05-25 06:30:01
108358,45.339031,-60.995494,2018-05-25 06:30:01
107314,43.47182,-65.21154,2018-05-25 06:30:03
19636,44.62455,-65.75204,2018-05-25 06:30:03
103157,44.62544,-65.75211,2018-05-25 06:30:03
106661,44.66234,-65.75465,2018-05-25 06:30:03
158986,46.87314,-62.974669999999996,2018-05-25 06:30:05
176301,47.150459999999995,-61.941959999999995,2018-05-25 06:30:24
107218,44.646665999999996,-65.754166,2018-05-25 06:31:13
102056,41.893888,-66.800833,2018-05-25 06:31:20
104459,45.1515,-64.81150000000001,2018-05-25 06:32:00
160781,47.168800000000005,-60.9549,2018-05-25 06:32:13
105908,45.503054999999996,-60.958332999999996,2018-05-25 06:34:15
176301,47.15172,-61.92702,2018-05-25 06:34:40
158986,46.87314,-62.974669999999996,2018-05-25 06:35:05
4052,44.643611,-63.5675,2018-05-25 06:37:20
160781,47.182500000000005,-60.9529,2018-05-25 06:37:37
102852,44.647777,-63.571388,2018-05-25 06:38:19
106408,45.917528999999995,-59.971275999999996,2018-05-25 06:38:33
106408,45.917528999999995,-59.971275999999996,2018-05-25 06:38:34
176301,47.15298,-61.912079999999996,2018-05-25 06:40:00
107174,45.716943,-60.245332999999995,2018-05-25 06:40:05
158986,46.873039999999996,-62.974669999999996,2018-05-25 06:40:05
107174,45.716943,-60.245332999999995,2018-05-25 06:40:07
107749,45.504166,-60.957221999999994,2018-05-25 06:40:46
105907,43.6169,-65.7865,2018-05-25 06:42:36
160781,47.1957,-60.9512,2018-05-25 06:42:52
106891,45.055,-66.794722,2018-05-25 06:42:54
7866,45.1225,-66.3515,2018-05-25 06:43:00
73907,45.057221999999996,-66.796666,2018-05-25 06:44:50
107866,45.503054999999996,-60.958332999999996,2018-05-25 06:44:54
108177,44.624489999999994,-65.75171499999999,2018-05-25 06:45:00
5665,44.64271,-65.7453,2018-05-25 06:45:01
107314,43.48682,-65.21334,2018-05-25 06:45:03
19636,44.62455,-65.75204,2018-05-25 06:45:03
103157,44.62544,-65.75211,2018-05-25 06:45:03
106661,44.64224,-65.74924,2018-05-25 06:45:03
158986,46.873039999999996,-62.974669999999996,2018-05-25 06:45:05
176301,47.15406,-61.89678,2018-05-25 06:45:20
4062,43.850833,-61.261388,2018-05-25 06:45:34
105790,45.5035,-60.9575,2018-05-25 06:46:00
